🇯🇵	🇺🇸	🇩🇪	🇫🇷	🇮🇹	🇪🇸	🇰🇷	🇨🇳	🇹🇼
がまん	Bide	Geduld	Patience	Pazienza	Venganza	참기	忍耐	忍耐
ゆびをふる	Metronome	Metronom	Métronome	Metronomo	Metrónomo	손가락흔들기	挥指	揮指
オウムがえし	Mirror Move	Spiegeltrick	Mimique	Speculmossa	Mov. Espejo	따라하기	鹦鹉学舌	鸚鵡學舌
じばく	Self-Destruct	Finale	Destruction	Autodistruzione	Autodestrucción	자폭	自爆	自爆
タマゴばくだん	Egg Bomb	Eierbombe	Bomb’Œuf	Uovobomba	Bomba Huevo	알폭탄	炸蛋	炸蛋
したでなめる	Lick	Schlecker	Léchouille	Leccata	Lengüetazo	핥기	舌舔	舌舔
スモッグ	Smog	Smog	Purédpois	Smog	Polución	스모그	浊雾	濁霧
ヘドロこうげき	Sludge	Schlammbad	Détritus	Fango	Residuos	오물공격	污泥攻击	污泥攻擊
ホネこんぼう	Bone Club	Knochenkeule	Massd’Os	Ossoclava	Hueso Palo	뼈다귀치기	骨棒	骨棒
だいもんじ	Fire Blast	Feuersturm	Déflagration	Fuocobomba	Llamarada	불대문자	大字爆炎	大字爆炎
たきのぼり	Waterfall	Kaskade	Cascade	Cascata	Cascada	폭포오르기	攀瀑	攀瀑
からではさむ	Clamp	Schnapper	Claquoir	Tenaglia	Tenaza	껍질끼우기	贝壳夹击	貝殼夾擊
スピードスター	Swift	Sternschauer	Météores	Comete	Rapidez	스피드스타	高速星星	高速星星
ロケットずつき	Skull Bash	Schädelwumme	Coud’Krâne	Capocciata	Cabezazo	로케트박치기	火箭头锤	火箭頭錘
とげキャノン	Spike Cannon	Dornkanone	Picanon	Sparalance	Clavo Cañón	가시대포	尖刺加农炮	尖刺加農炮
からみつく	Constrict	Umklammerung	Constriction	Limitazione	Restricción	휘감기	缠绕	纏繞
ドわすれ	Amnesia	Amnesie	Amnésie	Amnesia	Amnesia	망각술	瞬间失忆	瞬間失憶
スプーンまげ	Kinesis	Psykraft	Télékinésie	Cinèsi	Kinético	숟가락휘기	折弯汤匙	折彎湯匙
タマゴうみ	Soft-Boiled	Weichei	E-Coque	Covauova	Amortiguador	알낳기	生蛋	生蛋
とびひざげり	High Jump Kick	Turmkick	Pied Voltige	Calcinvolo	Pat. Salto Alta	무릎차기	飞膝踢	飛膝踢
へびにらみ	Glare	Giftblick	Regard Médusant	Sguardo Feroce	Deslumbrar	뱀눈초리	大蛇瞪眼	大蛇瞪眼
ゆめくい	Dream Eater	Traumfresser	Dévorêve	Mangiasogni	Come Sueños	꿈먹기	食梦	食夢
どくガス	Poison Gas	Giftwolke	Gaz Toxik	Velenogas	Gas Venenoso	독가스	毒瓦斯	毒瓦斯
たまなげ	Barrage	Stakkato	Pilonnage	Attacco Pioggia	Presa	구슬던지기	投球	投球
きゅうけつ	Leech Life	Blutsauger	Vampirisme	Sanguisuga	Chupavidas	흡혈	吸血	吸血
あくまのキッス	Lovely Kiss	Todeskuss	Grobisou	Demonbacio	Beso Amoroso	악마의키스	恶魔之吻	惡魔之吻
ゴッドバード	Sky Attack	Himmelsfeger	Piqué	Aeroattacco	Ataque Aéreo	불새	神鸟猛击	神鳥猛擊
へんしん	Transform	Wandler	Morphing	Trasformazione	Transformación	변신	变身	變身
あわ	Bubble	Blubber	Écume	Bolla	Burbuja	거품	泡沫	泡沫
ピヨピヨパンチ	Dizzy Punch	Irrschlag	Uppercut	Stordipugno	Puño Mareo	잼잼펀치	迷昏拳	迷昏拳
キノコのほうし	Spore	Pilzspore	Spore	Spora	Espora	버섯포자	蘑菇孢子	蘑菇孢子
フラッシュ	Flash	Blitz	Flash	Flash	Destello	플래시	闪光	閃光
サイコウェーブ	Psywave	Psywelle	Vague Psy	Psiconda	Psicoonda	사이코웨이브	精神波	精神波
はねる	Splash	Platscher	Trempette	Splash	Salpicadura	튀어오르기	跃起	躍起
とける	Acid Armor	Säurepanzer	Acidarmure	Scudo Acido	Armadura Ácida	녹기	溶化	溶化
クラブハンマー	Crabhammer	Krabbhammer	Pince-Masse	Martellata	Martillazo	찝게햄머	蟹钳锤	蟹鉗錘
だいばくはつ	Explosion	Explosion	Explosion	Esplosione	Explosión	대폭발	大爆炸	大爆炸
みだれひっかき	Fury Swipes	Kratzfurie	Combo-Griffe	Sfuriate	Golpes Furia	마구할퀴기	乱抓	亂抓
ホネブーメラン	Bonemerang	Knochmerang	Osmerang	Ossomerang	Huesomerang	뼈다귀부메랑	骨头回力镖	骨頭回力鏢
ねむる	Rest	Erholung	Repos	Riposo	Descanso	잠자기	睡觉	睡覺
いわなだれ	Rock Slide	Steinhagel	Éboulement	Frana	Avalancha	스톤샤워	岩崩	岩崩
ひっさつまえば	Hyper Fang	Hyperzahn	Croc de Mort	Iperzanna	Hipercolmillo	필살앞니	必杀门牙	必殺門牙
かくばる	Sharpen	Schärfer	Affûtage	Affilatore	Afilar	각지기	棱角化	稜角化
テクスチャー	Conversion	Umwandlung	Conversion	Conversione	Conversión	텍스처	纹理	紋理
トライアタック	Tri Attack	Triplette	Triplattaque	Tripletta	Triataque	트라이어택	三重攻击	三重攻擊
いかりのまえば	Super Fang	Superzahn	Croc Fatal	Superzanna	Superdiente	분노의앞니	愤怒门牙	憤怒門牙
きりさく	Slash	Schlitzer	Tranche	Lacerazione	Cuchillada	베어가르기	劈开	劈開
みがわり	Substitute	Delegator	Clonage	Sostituto	Sustituto	대타출동	替身	替身
わるあがき	Struggle	Verzweifler	Lutte	Scontro	Forcejeo	발버둥	挣扎	掙扎
スケッチ	Sketch	Nachahmer	Gribouille	Schizzo	Esquema	스케치	写生	寫生
トリプルキック	Triple Kick	Dreifachkick	Triple Pied	Triplocalcio	Triple Patada	트리플킥	三连踢	三連踢
どろぼう	Thief	Raub	Larcin	Furto	Ladrón	도둑질	小偷	小偷
クモのす	Spider Web	Spinnennetz	Toile	Ragnatela	Telaraña	거미집	蛛网	蛛網
こころのめ	Mind Reader	Willensleser	Lire-Esprit	Leggimente	Telépata	마음의눈	心之眼	心之眼
あくむ	Nightmare	Nachtmahr	Cauchemar	Incubo	Pesadilla	악몽	恶梦	惡夢
かえんぐるま	Flame Wheel	Flammenrad	Roue de Feu	Ruotafuoco	Rueda Fuego	화염자동차	火焰轮	火焰輪
いびき	Snore	Schnarcher	Ronflement	Russare	Ronquido	코골기	打鼾	打鼾
のろい	Curse	Fluch	Malédiction	Maledizione	Maldición	저주	诅咒	詛咒
じたばた	Flail	Dreschflegel	Fléau	Flagello	Azote	바둥바둥	抓狂	抓狂
テクスチャー2	Conversion 2	Umwandlung2	Conversion 2	Conversione2	Conversión2	텍스처2	纹理2	紋理2
エアロブラスト	Aeroblast	Luftstoß	Aéroblast	Aerocolpo	Aerochorro	에어로블라스트	气旋攻击	氣旋攻擊
わたほうし	Cotton Spore	Baumwollsaat	Spore Coton	Cottonspora	Esporagodón	목화포자	棉孢子	棉孢子
きしかいせい	Reversal	Gegenschlag	Contre	Contropiede	Inversión	기사회생	起死回生	起死回生
うらみ	Spite	Groll	Dépit	Dispetto	Rencor	원한	怨恨	怨恨
こなゆき	Powder Snow	Pulverschnee	Poudreuse	Polneve	Nieve Polvo	눈싸라기	细雪	細雪
まもる	Protect	Schutzschild	Abri	Protezione	Protección	방어	守住	守住
マッハパンチ	Mach Punch	Tempohieb	Mach Punch	Pugnorapido	Ultrapuño	마하펀치	音速拳	音速拳
こわいかお	Scary Face	Grimasse	Grimace	Visotruce	Cara Susto	겁나는얼굴	鬼面	鬼面
だましうち	Feint Attack	Finte	Feinte	Finta	Finta	속여때리기	出奇一击	出奇一擊
てんしのキッス	Sweet Kiss	Bitterkuss	Doux Baiser	Dolcebacio	Beso Dulce	천사의키스	天使之吻	天使之吻
はらだいこ	Belly Drum	Bauchtrommel	Cognobidon	Panciamburo	Tambor	배북	腹鼓	腹鼓
ヘドロばくだん	Sludge Bomb	Matschbombe	Bomb-Beurk	Fangobomba	Bomba Lodo	오물폭탄	污泥炸弹	污泥炸彈
どろかけ	Mud-Slap	Lehmschelle	Coud’Boue	Fangosberla	Bofetón Lodo	진흙뿌리기	掷泥	擲泥
オクタンほう	Octazooka	Octazooka	Octazooka	Octazooka	Pulpocañón	대포무노포	章鱼桶炮	章魚桶炮
まきびし	Spikes	Stachler	Picots	Punte	Púas	압정뿌리기	撒菱	撒菱
でんじほう	Zap Cannon	Blitzkanone	Élecanon	Falcecannone	Electrocañón	전자포	电磁炮	電磁炮
みやぶる	Foresight	Gesichte	Clairvoyance	Preveggenza	Profecía	꿰뚫어보기	识破	識破
みちづれ	Destiny Bond	Abgangsbund	Prélèvem. Destin	Destinobbligato	Mismo Destino	길동무	同命	同命
ほろびのうた	Perish Song	Abgesang	Requiem	Ultimocanto	Canto Mortal	멸망의노래	灭亡之歌	滅亡之歌
こごえるかぜ	Icy Wind	Eissturm	Vent Glace	Ventogelato	Viento Hielo	얼다바람	冰冻之风	冰凍之風
みきり	Detect	Scanner	Détection	Individua	Detección	판별	看穿	看穿
ボーンラッシュ	Bone Rush	Knochenhatz	Charge-Os	Ossoraffica	Ataque Óseo	본러쉬	骨棒乱打	骨棒亂打
ロックオン	Lock-On	Zielschuss	Verrouillage	Localizza	Fijar Blanco	록온	锁定	鎖定
げきりん	Outrage	Wutanfall	Colère	Oltraggio	Enfado	역린	逆鳞	逆鱗
すなあらし	Sandstorm	Sandsturm	Tempête de Sable	Terrempesta	Tormenta Arena	모래바람	沙暴	沙暴
ギガドレイン	Giga Drain	Gigasauger	Giga-Sangsue	Gigassorbimento	Gigadrenado	기가드레인	终极吸取	終極吸取
こらえる	Endure	Ausdauer	Ténacité	Resistenza	Aguante	버티기	挺住	挺住
あまえる	Charm	Charme	Charme	Fascino	Encanto	애교부리기	撒娇	撒嬌
ころがる	Rollout	Walzer	Roulade	Rotolamento	Desenrollar	구르기	滚动	滾動
みねうち	False Swipe	Trugschlag	Faux-Chage	Falsofinale	Falsotortazo	칼등치기	点到为止	點到為止
いばる	Swagger	Angeberei	Vantardise	Bullo	Contoneo	뽐내기	虚张声势	虛張聲勢
ミルクのみ	Milk Drink	Milchgetränk	Lait à Boire	Buonlatte	Batido	우유마시기	喝牛奶	喝牛奶
スパーク	Spark	Funkensprung	Étincelle	Scintilla	Chispa	스파크	电光	電光
れんぞくぎり	Fury Cutter	Zornklinge	Taillade	Tagliofuria	Corte Furia	연속자르기	连斩	連斬
はがねのつばさ	Steel Wing	Stahlflügel	Aile d’Acier	Alacciaio	Ala de Acero	강철날개	钢翼	鋼翼
くろいまなざし	Mean Look	Horrorblick	Regard Noir	Malosguardo	Mal de Ojo	검은눈빛	黑色目光	黑色目光
メロメロ	Attract	Anziehung	Attraction	Attrazione	Atracción	헤롱헤롱	迷人	迷人
ねごと	Sleep Talk	Schlafrede	Blabla Dodo	Sonnolalia	Sonámbulo	잠꼬대	梦话	夢話
いやしのすず	Heal Bell	Vitalglocke	Glas de Soin	Rintoccasana	Campana Cura	치료방울	治愈铃声	治癒鈴聲
おんがえし	Return	Rückkehr	Retour	Ritorno	Retribución	은혜갚기	报恩	報恩
プレゼント	Present	Geschenk	Cadeau	Regalino	Presente	프레젠트	礼物	禮物
やつあたり	Frustration	Frustration	Frustration	Frustrazione	Frustración	화풀이	迁怒	遷怒
しんぴのまもり	Safeguard	Bodyguard	Rune Protect	Salvaguardia	Velo Sagrado	신비의부적	神秘守护	神秘守護
いたみわけ	Pain Split	Leidteiler	Balance	Malcomune	Divide Dolor	아픔나누기	分担痛楚	分擔痛楚
せいなるほのお	Sacred Fire	Läuterfeuer	Feu Sacré	Magifuoco	Fuego Sagrado	성스러운불꽃	神圣之火	神聖之火
マグニチュード	Magnitude	Intensität	Ampleur	Magnitudo	Magnitud	매그니튜드	震级	震級
ばくれつパンチ	Dynamic Punch	Wuchtschlag	Dynamopoing	Dinamipugno	Puño Dinámico	폭발펀치	爆裂拳	爆裂拳
メガホーン	Megahorn	Vielender	Mégacorne	Megacorno	Megacuerno	메가폰	超级角击	超級角擊
りゅうのいぶき	Dragon Breath	Feuerodem	Dracosouffle	Dragospiro	Dragoaliento	용의숨결	龙息	龍息
バトンタッチ	Baton Pass	Stafette	Relais	Staffetta	Relevo	바톤터치	接棒	接棒
アンコール	Encore	Zugabe	Encore	Ripeti	Otra Vez	앵콜	再来一次	再來一次
おいうち	Pursuit	Verfolgung	Poursuite	Inseguimento	Persecución	따라가때리기	追打	追打
こうそくスピン	Rapid Spin	Turbodreher	Tour Rapide	Rapigiro	Giro Rápido	고속스핀	高速旋转	高速旋轉
あまいかおり	Sweet Scent	Lockduft	Doux Parfum	Profumino	Dulce Aroma	달콤한향기	甜甜香气	甜甜香氣
アイアンテール	Iron Tail	Eisenschweif	Queue de Fer	Codacciaio	Cola Férrea	아이언테일	铁尾	鐵尾
メタルクロー	Metal Claw	Metallklaue	Griffe Acier	Ferrartigli	Garra Metal	메탈크로우	金属爪	金屬爪
あてみなげ	Vital Throw	Überwurf	Corps Perdu	Vitaltiro	Tiro Vital	받아던지기	借力摔	借力摔
あさのひざし	Morning Sun	Morgengrauen	Aurore	Mattindoro	Sol Matinal	아침햇살	晨光	晨光
こうごうせい	Synthesis	Synthese	Synthèse	Sintesi	Síntesis	광합성	光合作用	光合作用
つきのひかり	Moonlight	Mondschein	Rayon Lune	Lucelunare	Luz Lunar	달의불빛	月光	月光
めざめるパワー	Hidden Power	Kraftreserve	Puissance Cachée	Introforza	Poder Oculto	잠재파워	觉醒力量	覺醒力量
クロスチョップ	Cross Chop	Kreuzhieb	Coup-Croix	Incrocolpo	Tajo Cruzado	크로스촙	十字劈	十字劈
たつまき	Twister	Windhose	Ouragan	Tornado	Ciclón	회오리	龙卷风	龍捲風
あまごい	Rain Dance	Regentanz	Danse Pluie	Pioggiadanza	Danza Lluvia	비바라기	求雨	求雨
にほんばれ	Sunny Day	Sonnentag	Zénith	Giornodisole	Día Soleado	쾌청	大晴天	大晴天
かみくだく	Crunch	Knirscher	Mâchouille	Sgranocchio	Triturar	깨물어부수기	咬碎	咬碎
ミラーコート	Mirror Coat	Spiegelcape	Voile Miroir	Specchiovelo	Manto Espejo	미러코트	镜面反射	鏡面反射
じこあんじ	Psych Up	Psycho-Plus	Boost	Psicamisù	Más Psique	자기암시	自我暗示	自我暗示
しんそく	Extreme Speed	Turbotempo	Vitesse Extrême	Extrarapido	Veloc. Extrema	신속	神速	神速
げんしのちから	Ancient Power	Antik-Kraft	Pouvoir Antique	Forzantica	Poder Pasado	원시의힘	原始之力	原始之力
シャドーボール	Shadow Ball	Spukball	Ball’Ombre	Palla Ombra	Bola Sombra	섀도볼	暗影球	暗影球
みらいよち	Future Sight	Seher	Prescience	Divinazione	Premonición	미래예지	预知未来	預知未來
